,category,text
28,dvd,"Hidalgo is based upon a true story, so it's no wonder it's thrilling, truth being stranger than fiction and all.  Although it's highly doubtful that everything in the movie actually happened, Frank Hopkins was indeed a real life cowboy, master horseman and rider and he did participate in the great Bedouin horse race of the Middle East known as the ""Ocean of Fire"" in the 1890's.This wonderfully stylized and lovingly crafted film clocks in at over two hours, yet never bores and your interest should never waver.  The international cast is terrific, led by Viggo Mortensen in a low-key, subtle performance which brings depth and a real sense of nobility to the notion of a ""cowboy'.  We've seen loads of silver screen gun slingers, bandits and marshals from icons like the swaggering John Wayne to the laconic Clint Eastwood, but with Viggo's Frank Hopkins, we may now be witness to one of the most balanced and interesting portrayals of an authentic cowpoke.  And it's all the more interesting because Frank Hopkins isn't all cowboy - half of him is Native American.  This internal duality and cultural division brings character shadings and a unique sense of perspective to Hopkins.Balancing the tensions of Native Americans with the US Government of the time, the film explores Frank Hopkin's journey between two worlds - that of a half Native American with loyal ties to his tribe and his jobs as a pony express rider and performer in Wild Bill Hickcock's show, all while having to live in the White Man's world.  When he's invited to participate in the Bedouin Race, Frank soon discovers there's a whole other world out there bound by similar dogmatic traditions, where women must hide their faces behind veils, much like he's chosen to hide his native ancestry to enable him to live an easier life.Sweeping cinematography beautifully composes authentic locations and the stunt choreography infuses the race and the action set-ups with fun and authenticity.  Viggo must have definitely ""lived"" horses for the film, irregardless of his prior expertise with them.  He clearly is at the reigns of the horse most of the time and he's totally capable and always convincing.  Hidalgo the horse may qualify for his own sequel or a TV series.  This beautiful animal is more expressive than many human actors and it's just one of the many joys and reasons to give this film a chance.  Apparently lost by audiences in it's initial theatrical release, Hidalgo should be discovered by every movie lover."
29,dvd,"Surprisingly `Hidalgo' released in '04 didn't live up to studio expectations in terms of either financial earnings, or audience appeal. Only now, two years after its release is this fantastic action/adventure film finding on DVD the adoring audience it so richly deserves. I was initially confused by this movies unexpected lack of acceptance by the public, however after pondering the complexities of this failure for some time I have come to the following conclusion. It was all Aragorn's fault. Yes, that's correct, it was Aragorn's fault. Here are the reasons why I believe this to be true.`Hidalgo' was Viggo Mortensen's first film following his co-starring role in the massive and unbelievably successful three film production of `The Lord of the Rings.' His long matted hair, scruffy beard and moustache along with those distant, piercing eyes have been forever imprinted into the collective unconscious of every moviegoer. The shock of seeing Viggo as Frank T. Hopkins, American cowboy in a funny hat and bandana, much shorter cropped hair, clean shaven and riding on a little spotted mustang was simply too much for 'the faithful' to handle. Viggo's fan base simply wasn't ready to give up the image of the King of Middle-Earth yet. Unable to accept the new look, people stayed away from the theaters thus turning Disney's expected big drawing card into a major strategic error. To put it plan and simple, `Hidalgo' came out too soon.If you're finally willing to move beyond the Aragorn persona and see a fast moving, well acted, beautifully shot film with a inspiring story to tell I invite you to give `Hidalgo' a viewing. Viggo is perfect as the half Indian, half white man who rides the little Pinto that never gives up and Omar Sharif delivers his best performance since `Lawrence of Arabia'. He's alert, witty and absolutely delightful as the sometimes harsh, sometimes whimsical Sheikh Riyadh who likes to sit in his tent and read tales of the American Wild West. It's obvious he really enjoyed playing this part. Also excellent performances by Zuleikha Robinson as Jazira, Adoni Maropis as Sakr and a whole cast of exotic, fascinating characters participating in the torturous 3,000 mile desert horse race across the ""Ocean of Fire"".Highly Recommended"
30,dvd,"The Lord of the Rings movies made superstars out of dozens of actors and actresses.  Many have gone on to star in movies that made lots of money, but without the awards and critical recognition of the LOTR movies.  Not so with Viggo Mortensen.  Right after LOTR he followed with this awesome adventure story by Disney.  Coming out the summer after Pirates of the Caribbean, this was supposed to be Disney's next big live-action, summer adventure hit.  Unfortunately, it flopped at the box office.  Luckily, it has made a comeback on the DVD market, which is where this reviewer saw it.  All in all, it is a great movie, and probably one of the best live-action movies Disney has produced in a long while; judging from its ratings here on amazon and on imdb.com.  In short, this movie is about Frank Hopkins, half-white, half-native american horserider who is mired in middle-age guilt and self remorse.  Along comes an opportunity for a change in scenery - a trip to the Arabian desert for a race.  Frank takes the challenge with his horse Hidalgo and of they go.  The race across the Arabian desert tests both rider and horse, and introduces them to a cast of characters that only an accomplished movie studio like Disney could have created.  We have the strong-willed girl full of innocence and inner strength, a fierce father and tribe leader who suffers no insults to his honor or intelligence, a backstabbing fellow racer who smiles until the final death, a seductive beauty willing to win at any costs, an arrogant prince with no moral bounds, etc, etc...  It all reminds our protagonist of his days in Montana!  During the course of the race, which Frank and Hidalgo win of course; both of them are tested to the limit.  The movie ends on a triumphal note for both.  The rider redeems his guilt by freeing Hidalgo from human ownership forever, and freeing his consciensce of past betrayals.The soundtrack is awesome, the cinematography is great, the dialogue is realistic, and for once, a movie set in a foreign land that actually uses actors from that area speaking the language of that area!  My compliments to Disney and the cast and crew of this movie.  I highly recommend it to all audiences from teenagers on up"
31,dvd,"In this movie that was supposedly inspired by the true story of Frank T. Hopkins, Viggo Mortenson does an excellent job of portraying the character.  Whether there actually was the race as described in the movie and whether Frank T. Hopkins actually existed is irrelevant.  What is important is that the movie is enjoyable and the race is nicely plotted.Frank T. Hopkins is an accomplished rider.  He has been a dispatch rider for the U.S. Army, a Pony Express rider, and he has been in Buffalo Bill's Wild West show.  Frank appears well on his way to alcoholic oblivion when he is asked to race in the 3000 mile Ocean of Fire, a race that has been held for one thousand years.  After the obligatory refusal (all movies of this type must have the humble hero refuse to be a hero) he travels by sea to the Middle East.A side note.  The movie begins with the infamous Wounded Knee massacre.  The memory of that horrific even supposedly haunts Frank.  I will discuss these distractions more later in this review.This movie finally comes into its own when the Ocean of Fire race begins.  Several of the sponsors of the race have their own agendas for winning the race.  Numerous attempts are made to kill Frank during the race.  Of course, Frank manages to survive all these attempts.  He also manages to rescue a kidnapped princess, and to save his horse from spikes, big cats, and bullets, not to mention heat, thirst and hunger.  Nearly every part of the movie that deals with the race is quite good and entertaining.The title of the movie comes from the mustang named Hidalgo.  Hidalgo has a lot of heart and a lot of character.  Hidalgo was smarter than many of the characters in this movie.  Sales of horses will go up as a result of this movie.The only issue I had with this movie was the distractions.  I thought the Wounded Knee massacre, while a horrible incident and one worthy of a separate movie, to be a distraction from the race.  Even though Frank later saw his ancestors in a hallucination in the desert, we did not need the massacre to recognize who they were.  I also thought the release of the wild mustangs by Frank could have been handled more succinctly, though I admit that seeing mustangs running across the plains of the Midwest was inspiring.  Throwing in all the details about Jazira, the daughter of Sheikh Riyadh (played by the great Omar Sharif) were further distractions.  The result is a movie that is bloated in places and begins too slowly.I thought Viggo Mortenson was great as Aragorn in the Lord of the Rings movies.  He does an equally good job as Frank T. Hopkins.  Enjoy the race; enjoy the rescue of the princess; fast forward through the rest."
32,dvd,"I have to say that I really enjoyed this film.  It is well done and not to mention beautifully shot. It has become one of my favorite films and is much better than most of the drivel that comes out of Hollywood these days.  Most times films are so overhyped that once you sit down to see them you are most often times disappointed.  This film did not receive that much hype and it does not disappoint.  If you love horses, adventure, beautiful scenery and a film about the spirit of man and his horse, then please do see it.  And lets face it (ladies) Viggo Mortensen is just as beautiful as the scenery around him.  He is a very good actor and an underated one at that.  So sit back, pop some corn and enjoy a good adventure.  And admire one of God's most majestic creations...........the horse. (and viggo mortensen!!"
33,dvd,"Here's an ""epic"" movie that reminded me of those that were made in the mid 1960s such as Dr. Zhivago and Lawrence Of Arabia. Interesting to note that Omar Sharif was in this modern-day movie and Dr. Zhivago. Several younger friends that saw this film told me they were very disappointed because, thanks to the previews, they thought it would be an action-packed adventure story such as ""The Mummy."" Well, it wasn't and it was way too slow for them.Frankly, I thought the ""slow"" parts were the best and overall, thought the film had just the right amount of action, instead of overdoing it as the recent Mummy pictures did. Another big plus was the cinematography. This is a beautifully filmed movie, stunning in some parts. Another good point is the language: hardly a swear word.On the negative side, there was the usual political correctness, a la Dances With Wolves in which viewers are reminded several times of the massacre at Wounded Knee and soldiers are portrayed as the bad guys. The horse race had some credibility problems, too, as ""Hidalgo"" came back from the dead not once but twice to race like Secretariat! Anyway, if you are looking for a modern-day adventure story with old-fashioned storytelling and no language problems, this film is for you and the rest of the family"
34,dvd,"This is a very entertaining movie with the horse stealing the show, of course.  I also like that it is based on a real person."
35,dvd,"My daughters ages 4 and 9 own this dvd and don't like it.  They also own the billy blanks tae bo for kids and love it.  My 9 yr. old especially likes the tae bo better.  I bought this thinking that it would give them another kind of workout, but they don't want to do this one at all.  I thought they would, and I'm sure as the other reviews have stated, love it but they didn't.  I guess it just depends on the child"
36,dvd,"Great workout for our kids  us parents too....simple to follow, very effective, and our 4 kids from baby to pre-teen jump in and kick.  The coach is very optimistic and positive.  I also like the extra defense techniques shown to children.   It was very much worth the money....especially good on Rainy and Snowy Days"
37,dvd,Wish this vid had another workout. Amazing interest at first. Got old quickly
38,dvd,"I would highly recommend this video if you are looking for something to motivate kids and that they can keep up with and have fun but still get a good work-out.  It is based on martial arts but does not include violence toward other people.  Instead, he picks apples and oranges and kicks soccer balls.  The video is also split up (for example, Warm Up and Cool Down) so it is easy to pause and grab a drink of water if you need one. "
39,dvd,"My kids absolutly LOVE this program. The children on the program are clearly having fun, which makes it so much more fun for the viewer, especially when the viewers are children themselves. The guy leading the group is just awesome with kids. He interacts with them throughout the entire program, and really makes it a lot of fun. My kids have seen their share of kid's exercise programs, and until we saw this one, they weren't very happy with any of them. This program really makes them feel good about themselves, and really makes them feel good about exercising. I have seen this video in the #1 spot for quite a while, but because it was priced a little higher than some of the other videos, I thought I would save a few dollars  try them instead. - BIG MISTAKE!!! NOW I wish I would have bought this video first, and saved the money I spent on the other videos.  Kick to Get Fit Jr. - for kids is truly worth the few extra dollars. _ This is difinitely a case where you get what you have paid for. A few extra dollars = a much better product. - Atleast in this case it does!"
40,dvd,"I bought this mainly for my 7 yr old son, but even the older children I care for (I run a family daycare) really enjoy this. All the kids give it two thumbs way up."
41,dvd,"I purchased this for my 4-year-old son, and we love it.  The moves are very easy to follow and extremely non-violent.  He compares the martial arts moves to picking apples and oranges versus upper cuts and jabs.  The kids in the video are just kids -- they don't perform everything perfectly so as not to make your little feel incompetent.  Great for all ages"
42,dvd,"This program is simply the best kid's program I've ever seen. I really can't say a lot that hasn't already been said in other reviews, I just wanted to also voice my opinion as to how terrific this program is.- A couple of quick points that make this program so special are; the instructor, the program itself, and the amount of fun the kids on the program are having, and the amount of fun my children have doing the program. - The instructor has a great time interacting with the kids on the program, and also to the viewers at home. He is funny, but yet professional with his instruction, and really does a good job with the kids. - The program itself is like nothing I've ever seen before, the movements are a combination of karate techniques (with a non-violent approach), aerobic movements, and basic physical education activities, it's a very nice blend, and it really flows together well. - And last, but certainly not least, this program is FUN to do, and easy enough for all my kids to follow along with.This is terrific program"
43,dvd,"This program is simply the best kid's exercise video I've seen - PERIOD!!!!I usually don't write reviews, simple because most of the kid's fitness programs I've seen aren't worth the time to write about. But, Kick to Get Fit Jr. - For Kids, is completely different than anything I've ever seen. The film quality was very good, and the instructor did such a great job interacting with the kids, he's truly a natural with kids. One of the things I liked best about this program was the tempo  flow, and the way the instructor just seemed to flow with the program. What I mean is, it didn't appear that he had  memorized a script (of what to say) or that he was reading word for word from a script, he just went with the flow. And, any one of us who has ever worked with kids before knows that you have to be natural with kids in order to make it fun, anything less than that will effect the quality of what you're doing. - Now, don't get me wrong, this program was well rehearsed  extremely well put together, but the instructor  kids were truly going with the flow  having fun. - Which is definitely more appealing to the kids watching the program. - Kids enjoy watching kids having fun, and if the kids on the program are having fun, then the kids watching want to participate so that they can have just as much fun. It doesn't get much simpler than this, unfortunately most programs have no understanding of this concept and fall way short.Kick to Get Fit Jr. - For Kids is simply the best! Check it out, your kids will love it."
44,dvd,"One of the best movies I've seen.  Everybody does a great job in portraying this sensitive material in a very real and gutsy way.  I've seen this movie three times, I think, and each time have found it not only entertaining, but reminding that, as a society, we still have a lot of work to do on healing our human need for hatred and fear"
